driver_program,0,11231.786417484283,/home/users/vhayots/spark-1572497074-isilonAD_1it_25cpus_20bb-0,allfiles
increment_data,10701.175209999084,10702.213924646378,bigbrain_2310_604_3475.nii,133853
save_incremented,10716.590916395187,10836.691005945206,bigbrain_2310_604_3475.nii,133853
load_img,1903.1278371810913,1903.682241678238,bigbrain_5390_3624_2085.nii,133847
increment_data,1967.9946138858795,1968.7637724876404,bigbrain_5390_3624_2085.nii,133847
save_incremented,1973.5146043300629,2052.538023710251,bigbrain_5390_3624_2085.nii,133847
load_img,7565.381063699722,7565.762744903564,bigbrain_0_0_2085.nii,133838
increment_data,7625.265362501144,7633.465501308441,bigbrain_0_0_2085.nii,133838
save_incremented,7696.1315677165985,7710.820390701294,bigbrain_0_0_2085.nii,133838
load_img,5180.674907684326,5181.054168701172,bigbrain_3850_0_2780.nii,133826
increment_data,5220.057230710983,5221.974576711655,bigbrain_3850_0_2780.nii,133826
save_incremented,5231.687805652618,5328.730935335159,bigbrain_3850_0_2780.nii,133826
load_img,4664.227786540985,4664.809403419495,bigbrain_2310_604_5560.nii,133820
increment_data,4678.576914310455,4679.498335599899,bigbrain_2310_604_5560.nii,133820
save_incremented,4697.000552654266,4818.467235088348,bigbrain_2310_604_5560.nii,133820
load_img,929.4222869873047,929.8899922370911,bigbrain_1540_2416_695.nii,133850
increment_data,950.3977489471436,953.5703310966492,bigbrain_1540_2416_695.nii,133850
save_incremented,997.3035581111908,1068.926376581192,bigbrain_1540_2416_695.nii,133850
load_img,3867.5825638771057,3867.965702533722,bigbrain_770_3624_695.nii,133823
increment_data,3904.549747467041,3916.0132822990417,bigbrain_770_3624_695.nii,133823
save_incremented,3934.9363629817963,4029.8357484340668,bigbrain_770_3624_695.nii,133823
load_img,7148.116252183914,7148.642739534378,bigbrain_0_3624_6255.nii,133883
increment_data,7153.413596153259,7155.172619819641,bigbrain_0_3624_6255.nii,133883
save_incremented,7162.990343093872,7239.958282709122,bigbrain_0_3624_6255.nii,133883
load_img,4889.814490556717,4890.4510905742645,bigbrain_3850_0_4170.nii,133826
increment_data,4923.509618997574,4928.6285762786865,bigbrain_3850_0_4170.nii,133826
save_incremented,4949.821039915085,5055.670594453812,bigbrain_3850_0_4170.nii,133826
load_img,2708.820205450058,2709.237449169159,bigbrain_5390_3624_4865.nii,133871
increment_data,2724.9548552036285,2732.6730411052704,bigbrain_5390_3624_4865.nii,133871
save_incremented,2775.2200083732605,2855.639975786209,bigbrain_5390_3624_4865.nii,133871
load_img,6830.406854152679,6830.803866147995,bigbrain_1540_2416_2780.nii,133820
increment_data,6879.599193811417,6880.657351732254,bigbrain_1540_2416_2780.nii,133820
save_incremented,6880.660700798035,6925.896876811981,bigbrain_1540_2416_2780.nii,133820
load_img,3574.716705799103,3575.1060135364532,bigbrain_5390_5436_3475.nii,133844
increment_data,3593.6360862255096,3594.317348718643,bigbrain_5390_5436_3475.nii,133844
save_incremented,3596.449264526367,3684.7173330783844,bigbrain_5390_5436_3475.nii,133844
load_img,641.1721897125244,641.5623631477356,bigbrain_4620_4832_4170.nii,133832
increment_data,689.124484539032,694.8825013637543,bigbrain_4620_4832_4170.nii,133832
save_incremented,718.7728228569031,797.187563419342,bigbrain_4620_4832_4170.nii,133832
load_img,7705.656422376633,7706.210888147354,bigbrain_6930_2416_695.nii,133868
increment_data,7711.253036737442,7712.431993484497,bigbrain_6930_2416_695.nii,133868
save_incremented,7721.286581993103,7821.97159075737,bigbrain_6930_2416_695.nii,133868
load_img,2173.536600589752,2173.9170849323273,bigbrain_1540_1208_695.nii,133865
increment_data,2231.2407059669495,2232.0524888038635,bigbrain_1540_1208_695.nii,133865
save_incremented,2237.77849650383,2282.735504388809,bigbrain_1540_1208_695.nii,133865
load_img,4359.444211006165,4359.830062866211,bigbrain_5390_1208_2085.nii,133826
increment_data,4405.418563127518,4406.486541748047,bigbrain_5390_1208_2085.nii,133826
save_incremented,4411.43096780777,4471.905554771423,bigbrain_5390_1208_2085.nii,133826
load_img,2491.3612501621246,2491.757385492325,bigbrain_3850_604_2780.nii,133859
increment_data,2501.317489862442,2502.152506351471,bigbrain_3850_604_2780.nii,133859
save_incremented,2533.080377101898,2654.1601033210754,bigbrain_3850_604_2780.nii,133859
load_img,9753.106385469437,9754.212277889252,bigbrain_2310_5436_2085.nii,133820
increment_data,9776.06418800354,9784.176968574524,bigbrain_2310_5436_2085.nii,133820
save_incremented,9795.677822589874,9901.13092136383,bigbrain_2310_5436_2085.nii,133820
load_img,7712.537547588348,7713.460967302322,bigbrain_4620_5436_695.nii,133832
