driver_program,0,323.8527488708496,/pmem1-data/val/spark-1570914005-optaneAD_1it_25cpus_120delay_withpc_em-1,allfiles
load_img,5.64772629737854,5.657658576965332,bigbrain_0_4228_6255.nii,157008
increment_data,5.663524150848389,14.566248655319214,bigbrain_0_4228_6255.nii,157008
save_incremented,14.567084074020386,28.33931612968445,bigbrain_0_4228_6255.nii,157008
load_img,5.64772629737854,5.657698392868042,bigbrain_0_3020_2780.nii,156996
increment_data,5.6637561321258545,14.737672090530396,bigbrain_0_3020_2780.nii,156996
save_incremented,14.738061904907227,16.423409700393677,bigbrain_0_3020_2780.nii,156996
load_img,5.657959222793579,5.668224334716797,bigbrain_0_3020_2780.nii,157019
increment_data,5.670773983001709,14.737665891647339,bigbrain_0_3020_2780.nii,157019
save_incremented,14.738041162490845,16.06499719619751,bigbrain_0_3020_2780.nii,157019
load_img,5.662446022033691,5.671706438064575,bigbrain_0_4228_4865.nii,157004
increment_data,5.674551725387573,13.31664752960205,bigbrain_0_4228_4865.nii,157004
save_incremented,13.319886922836304,32.430328369140625,bigbrain_0_4228_4865.nii,157004
load_img,5.665589094161987,5.674858570098877,bigbrain_0_2416_2780.nii,157043
increment_data,5.677968502044678,14.248090505599976,bigbrain_0_2416_2780.nii,157043
save_incremented,14.251026630401611,21.328325271606445,bigbrain_0_2416_2780.nii,157043
load_img,16.067932844161987,16.069096565246582,bigbrain_0_0_0.nii,157019
increment_data,16.069427728652954,16.70938014984131,bigbrain_0_0_0.nii,157019
save_incremented,16.70954704284668,28.534788370132446,bigbrain_0_0_0.nii,157019
load_img,16.426602363586426,16.427749156951904,bigbrain_0_0_0.nii,156996
increment_data,16.42812180519104,17.061784982681274,bigbrain_0_0_0.nii,156996
save_incremented,17.061949014663696,30.257030248641968,bigbrain_0_0_0.nii,156996
load_img,16.8915855884552,16.89279866218567,bigbrain_0_0_0.nii,156972
increment_data,16.89313507080078,19.047727823257446,bigbrain_0_0_0.nii,156972
save_incremented,19.052751541137695,31.6962730884552,bigbrain_0_0_0.nii,156972
load_img,17.177218914031982,17.178812265396118,bigbrain_0_0_0.nii,156992
increment_data,17.17919373512268,22.014748573303223,bigbrain_0_0_0.nii,156992
