driver_program,0,1037.7052314281464,/home/val/spark-1570980315-local_1it_96cpus_0delay_npc_em-0,allfiles
load_img,12.859951257705688,12.86208176612854,bigbrain_0_4228_4865.nii,116855
increment_data,12.862668752670288,20.321279287338257,bigbrain_0_4228_4865.nii,116855
save_incremented,20.321780681610107,24.59685230255127,bigbrain_0_4228_4865.nii,116855
load_img,12.85982346534729,12.862380027770996,bigbrain_0_2416_4865.nii,116841
increment_data,12.862861156463623,20.295513153076172,bigbrain_0_2416_4865.nii,116841
save_incremented,20.295897722244263,24.377750873565674,bigbrain_0_2416_4865.nii,116841
load_img,12.874250411987305,12.876391172409058,bigbrain_0_2416_2780.nii,116875
increment_data,12.877047300338745,20.10963797569275,bigbrain_0_2416_2780.nii,116875
save_incremented,20.1110680103302,23.67926263809204,bigbrain_0_2416_2780.nii,116875
load_img,12.882314682006836,12.88371205329895,bigbrain_0_3020_4865.nii,116878
increment_data,12.88416862487793,20.332517385482788,bigbrain_0_3020_4865.nii,116878
save_incremented,20.332744121551514,46.79016304016113,bigbrain_0_3020_4865.nii,116878
load_img,12.893460988998413,12.895496368408203,bigbrain_0_4228_4865.nii,116849
increment_data,12.896113157272339,20.31891131401062,bigbrain_0_4228_4865.nii,116849
save_incremented,20.319185733795166,23.35427474975586,bigbrain_0_4228_4865.nii,116849
load_img,12.897602319717407,12.900270938873291,bigbrain_0_3624_695.nii,116860
increment_data,12.901012659072876,19.958511114120483,bigbrain_0_3624_695.nii,116860
save_incremented,19.958781242370605,43.39055609703064,bigbrain_0_3624_695.nii,116860
load_img,12.90243148803711,12.903994083404541,bigbrain_0_4228_4865.nii,116884
increment_data,12.90449833869934,20.3190655708313,bigbrain_0_4228_4865.nii,116884
save_incremented,20.3192617893219,24.010720014572144,bigbrain_0_4228_4865.nii,116884
load_img,12.905905485153198,12.907986402511597,bigbrain_0_3624_695.nii,117042
increment_data,12.908643007278442,19.95777153968811,bigbrain_0_3624_695.nii,117042
save_incremented,19.958000898361206,54.780846118927,bigbrain_0_3624_695.nii,117042
load_img,12.912331819534302,12.914113759994507,bigbrain_0_2416_2780.nii,116870
increment_data,12.914670705795288,20.109521627426147,bigbrain_0_2416_2780.nii,116870
save_incremented,20.110896825790405,24.486106395721436,bigbrain_0_2416_2780.nii,116870
load_img,12.920087575912476,12.923207998275757,bigbrain_0_4228_4865.nii,116905
increment_data,12.924041032791138,20.321056365966797,bigbrain_0_4228_4865.nii,116905
save_incremented,20.321513414382935,24.351750135421753,bigbrain_0_4228_4865.nii,116905
