driver_program,0,9749.811122655869,/home/users/vhayots/spark-1570955656-isilon_1it_96cpus_0delay_npc-0,allfiles
increment_data,2279.7571263313293,2311.8834929466248,bigbrain_6160_604_0.nii,112250
save_incremented,2472.251805305481,2747.7355835437775,bigbrain_6160_604_0.nii,112250
load_img,6453.651442050934,6499.3465168476105,bigbrain_0_1208_2085.nii,112324
increment_data,6898.896552562714,6929.035838603973,bigbrain_0_1208_2085.nii,112324
save_incremented,7158.745947360992,7541.493515491486,bigbrain_0_1208_2085.nii,112324
load_img,1014.3563029766083,1041.4276909828186,bigbrain_3080_0_4170.nii,112230
increment_data,1133.6999666690826,1169.246060848236,bigbrain_3080_0_4170.nii,112230
save_incremented,1518.0041105747223,1566.79332113266,bigbrain_3080_0_4170.nii,112230
load_img,7655.526216506958,7674.162016630173,bigbrain_1540_2416_1390.nii,112206
increment_data,7811.744473695755,7862.737644195557,bigbrain_1540_2416_1390.nii,112206
save_incremented,8146.712901353836,8559.559772253036,bigbrain_1540_2416_1390.nii,112206
load_img,8627.737003087997,8642.9783847332,bigbrain_6930_2416_4170.nii,112142
increment_data,9007.658421754837,9048.775048017502,bigbrain_6930_2416_4170.nii,112142
save_incremented,9071.032725572586,9313.914285182953,bigbrain_6930_2416_4170.nii,112142
load_img,8626.119579076767,8642.957327604294,bigbrain_770_1208_2085.nii,112311
increment_data,8874.627913951874,8913.944753408432,bigbrain_770_1208_2085.nii,112311
save_incremented,9013.147656917572,9233.256314992905,bigbrain_770_1208_2085.nii,112311
load_img,1553.1258482933044,1572.254808664322,bigbrain_3080_3624_2085.nii,111924
increment_data,1981.9329280853271,2010.031730890274,bigbrain_3080_3624_2085.nii,111924
save_incremented,2382.687734603882,2410.912297964096,bigbrain_3080_3624_2085.nii,111924
load_img,121.78820610046387,143.39453053474426,bigbrain_0_604_6255.nii,112230
increment_data,393.0204439163208,430.4046673774719,bigbrain_0_604_6255.nii,112230
save_incremented,615.7824721336365,895.94979596138,bigbrain_0_604_6255.nii,112230
load_img,7655.2591326236725,7674.160762310028,bigbrain_3080_5436_6255.nii,112286
increment_data,7773.392936468124,7862.336834430695,bigbrain_3080_5436_6255.nii,112286
save_incremented,8146.579166173935,8531.44725060463,bigbrain_3080_5436_6255.nii,112286
load_img,4531.8303763866425,4552.593506574631,bigbrain_5390_3020_4170.nii,112112
increment_data,4977.522521972656,5007.79977273941,bigbrain_5390_3020_4170.nii,112112
save_incremented,5231.156031370163,5676.231559276581,bigbrain_5390_3020_4170.nii,112112
load_img,4601.11079788208,4618.7043488025665,bigbrain_2310_1208_3475.nii,112263
increment_data,5005.123338699341,5037.5030155181885,bigbrain_2310_1208_3475.nii,112263
save_incremented,5241.058171749115,5676.798532009125,bigbrain_2310_1208_3475.nii,112263
load_img,1861.7705137729645,1880.3015134334564,bigbrain_4620_604_3475.nii,112074
increment_data,2291.368399620056,2327.3203642368317,bigbrain_4620_604_3475.nii,112074
save_incremented,2473.003382921219,2765.566010951996,bigbrain_4620_604_3475.nii,112074
load_img,7659.269457101822,7674.18319606781,bigbrain_3850_1812_6255.nii,112209
increment_data,7977.302107810974,8015.923932313919,bigbrain_3850_1812_6255.nii,112209
save_incremented,8148.055918455124,8570.915801525116,bigbrain_3850_1812_6255.nii,112209
load_img,1113.045545578003,1131.6961975097656,bigbrain_1540_5436_6255.nii,112311
increment_data,1521.4753985404968,1547.903079509735,bigbrain_1540_5436_6255.nii,112311
save_incremented,1559.841697216034,1960.7018008232117,bigbrain_1540_5436_6255.nii,112311
