driver_program,0,10545.577550172806,/home/users/vhayots/spark-1570495571-isilonAD_1it_96cpus_0delay_npc-1,allfiles
save_incremented,3067.440721988678,3184.0585675239563,bigbrain_770_1208_4865.nii,85636
load_img,4960.503559827805,4962.559021472931,bigbrain_3080_3624_3475.nii,85603
increment_data,5183.253744602203,5185.189925193787,bigbrain_3080_3624_3475.nii,85603
save_incremented,5229.769821882248,5475.87130856514,bigbrain_3080_3624_3475.nii,85603
load_img,3872.9366862773895,3873.980592727661,bigbrain_3850_5436_2085.nii,85540
increment_data,3952.3233087062836,3955.5230190753937,bigbrain_3850_5436_2085.nii,85540
save_incremented,4054.739396095276,4229.327932596207,bigbrain_3850_5436_2085.nii,85540
load_img,8732.85298204422,8733.236967086792,bigbrain_6930_4228_4865.nii,85555
increment_data,9028.57086277008,9029.528675317764,bigbrain_6930_4228_4865.nii,85555
save_incremented,9070.72502374649,9189.011001825333,bigbrain_6930_4228_4865.nii,85555
load_img,5983.749269485474,5984.305527210236,bigbrain_4620_3624_2780.nii,85522
increment_data,5985.371677875519,5989.114838838577,bigbrain_4620_3624_2780.nii,85522
save_incremented,6034.771864652634,6257.859131097794,bigbrain_4620_3624_2780.nii,85522
load_img,4959.864369153976,4962.117916107178,bigbrain_6160_3624_2780.nii,85651
increment_data,5027.545768260956,5028.495616674423,bigbrain_6160_3624_2780.nii,85651
save_incremented,5193.199300527573,5246.923721551895,bigbrain_6160_3624_2780.nii,85651
load_img,872.7337131500244,873.1255950927734,bigbrain_2310_4832_0.nii,85540
increment_data,877.9490087032318,880.1790413856506,bigbrain_2310_4832_0.nii,85540
save_incremented,900.2909610271454,1281.2731261253357,bigbrain_2310_4832_0.nii,85540
load_img,5167.2788372039795,5167.885115146637,bigbrain_770_3020_695.nii,85432
increment_data,5220.930423498154,5221.770033359528,bigbrain_770_3020_695.nii,85432
save_incremented,5231.553021430969,5772.97781085968,bigbrain_770_3020_695.nii,85432
load_img,3023.59348487854,3024.466318845749,bigbrain_770_5436_4865.nii,85408
increment_data,3105.7747972011566,3117.911299228668,bigbrain_770_5436_4865.nii,85408
save_incremented,3272.671154022217,3418.951368331909,bigbrain_770_5436_4865.nii,85408
load_img,4960.46791601181,4962.17422914505,bigbrain_0_0_4170.nii,85417
increment_data,5036.732386827469,5037.762233495712,bigbrain_0_0_4170.nii,85417
save_incremented,5191.525634050369,5228.441387653351,bigbrain_0_0_4170.nii,85417
load_img,5906.812624931335,5908.377490997314,bigbrain_6930_4228_2085.nii,85621
