driver_program,0,1030.5628218650818,/home/val/spark-1570899837-localAD_1it_96cpus_0delay_npc_em-0,allfiles
load_img,13.457042932510376,13.459787368774414,bigbrain_0_2416_4865.nii,152219
increment_data,13.460574626922607,19.997743368148804,bigbrain_0_2416_4865.nii,152219
save_incremented,19.997929334640503,21.977102994918823,bigbrain_0_2416_4865.nii,152219
load_img,13.470229148864746,13.472408771514893,bigbrain_0_2416_2780.nii,152204
increment_data,13.472904682159424,20.86745834350586,bigbrain_0_2416_2780.nii,152204
save_incremented,20.86764645576477,23.329485177993774,bigbrain_0_2416_2780.nii,152204
load_img,13.483443975448608,13.485316276550293,bigbrain_0_4228_6255.nii,152233
increment_data,13.485860586166382,20.549630403518677,bigbrain_0_4228_6255.nii,152233
save_incremented,20.550275802612305,24.28247618675232,bigbrain_0_4228_6255.nii,152233
load_img,13.483785152435303,13.485690355300903,bigbrain_0_4228_4865.nii,152227
increment_data,13.48617696762085,20.671162843704224,bigbrain_0_4228_4865.nii,152227
save_incremented,20.671332597732544,24.619134187698364,bigbrain_0_4228_4865.nii,152227
load_img,13.489975929260254,13.492359638214111,bigbrain_0_2416_4865.nii,152239
increment_data,13.492872953414917,19.997328996658325,bigbrain_0_2416_4865.nii,152239
save_incremented,19.99755334854126,60.47136092185974,bigbrain_0_2416_4865.nii,152239
load_img,13.494325637817383,13.496265649795532,bigbrain_0_3624_695.nii,152247
increment_data,13.496821403503418,19.449249029159546,bigbrain_0_3624_695.nii,152247
save_incremented,19.449474811553955,22.49795889854431,bigbrain_0_3624_695.nii,152247
load_img,13.499607801437378,13.502720832824707,bigbrain_0_3020_2780.nii,152258
increment_data,13.503304243087769,20.86622428894043,bigbrain_0_3020_2780.nii,152258
save_incremented,20.866435766220093,23.467687845230103,bigbrain_0_3020_2780.nii,152258
load_img,13.510662317276001,13.513121604919434,bigbrain_0_4228_6255.nii,152262
increment_data,13.513593196868896,20.546749591827393,bigbrain_0_4228_6255.nii,152262
save_incremented,20.546980142593384,69.96547508239746,bigbrain_0_4228_6255.nii,152262
load_img,13.520692825317383,13.523447275161743,bigbrain_0_4228_6255.nii,152243
increment_data,13.523961067199707,20.55026412010193,bigbrain_0_4228_6255.nii,152243
save_incremented,20.550459384918213,24.304152011871338,bigbrain_0_4228_6255.nii,152243
load_img,13.52458643913269,13.52685546875,bigbrain_0_2416_4865.nii,152285
increment_data,13.527520895004272,19.99765682220459,bigbrain_0_2416_4865.nii,152285
save_incremented,19.997889280319214,58.44428825378418,bigbrain_0_2416_4865.nii,152285
load_img,13.526886701583862,13.529392004013062,bigbrain_0_3020_2780.nii,152282
increment_data,13.530099153518677,20.62832760810852,bigbrain_0_3020_2780.nii,152282
save_incremented,20.628542184829712,23.286840200424194,bigbrain_0_3020_2780.nii,152282
load_img,13.527311563491821,13.529922246932983,bigbrain_0_3624_695.nii,152255
increment_data,13.53073525428772,19.448551177978516,bigbrain_0_3624_695.nii,152255
save_incremented,19.448719263076782,22.669046878814697,bigbrain_0_3624_695.nii,152255
load_img,13.534201383590698,13.536343336105347,bigbrain_0_4228_6255.nii,152324
increment_data,13.536977052688599,20.5464768409729,bigbrain_0_4228_6255.nii,152324
save_incremented,20.546706676483154,23.801347494125366,bigbrain_0_4228_6255.nii,152324
load_img,13.536180973052979,13.538404703140259,bigbrain_0_2416_4865.nii,152304
increment_data,13.539048671722412,19.99757409095764,bigbrain_0_2416_4865.nii,152304
save_incremented,19.99779510498047,58.60834717750549,bigbrain_0_2416_4865.nii,152304
load_img,13.537781953811646,13.540770292282104,bigbrain_0_4228_6255.nii,152266
